Month,Opening Principal Balance,Rates,Cashflow,Interest Paid,Principal Paid,Closing Princial Balance
54,968709.7926977996,0.0978,8613.583831412854,7894.984810487038,718.5990209258161,967991.1936768738
55,967991.1936768738,0.0978,8613.583831412854,7889.128228466396,724.4556029464584,967266.7380739274
56,967266.7380739274,0.0978,8613.583831412854,7883.223915302564,730.3599161102902,966536.3781578171
57,966536.3781578171,0.0978,8613.583831412854,7877.271481986294,736.3123494265601,965800.0658083905
58,965800.0658083905,0.0978,8613.583831412854,7871.270536338232,742.3132950746221,965057.7525133159
59,965057.7525133159,0.0978,8613.583831412854,7865.220682983656,748.3631484291982,964309.3893648867
60,964309.3893648867,0.0978,8613.583831412854,7859.121523323722,754.4623080891324,963554.9270567975
61,963554.9270567975,0.0978,8613.583831412854,7852.972655512878,760.6111758999759,962794.3158808976
62,962794.3158808976,0.0978,8613.583831412854,7846.773674429298,766.8101569835562,962027.505723914
63,962027.505723914,0.0978,8613.583831412854,7840.524171649964,773.0596597628901,961254.4460641511
64,961254.4460641511,0.0978,8613.583831412854,7834.223735422731,779.3600959901232,960475.085968161
65,960475.085968161,0.0978,8613.583831412854,7827.871950640712,785.7118807721417,959689.3740873889
66,959689.3740873889,0.0978,8613.583831412854,7821.468398812014,792.11543260084,958897.258654788
67,958897.258654788,0.0978,8613.583831412854,7815.012658036567,798.5711733762873,958098.6874814117
68,958098.6874814117,0.0978,8613.583831412854,7808.50430297353,805.0795284393243,957293.6079529724
69,957293.6079529724,0.0978,8613.583831412854,7801.942904816728,811.6409265961265,956481.9670263763
70,956481.9670263763,0.0978,8613.583831412854,7795.328031264964,818.2558001478901,955663.7112262284
71,955663.7112262284,0.0978,8613.583831412854,7788.659246493733,824.9245849191211,954838.7866413093
72,954838.7866413093,0.0978,8613.583831412854,7781.936111126464,831.6477202863898,954007.1389210229
73,954007.1389210229,0.0978,8613.583831412854,7775.158182206467,838.4256492063869,953168.7132718165
74,953168.7132718165,0.0978,8613.583831412854,7768.325013165382,845.2588182474719,952323.454453569
75,952323.454453569,0.0978,8613.583831412854,7761.4361537965215,852.1476776163327,951471.3067759527
76,951471.3067759527,0.0978,8613.583831412854,7754.491150223903,859.0926811889512,950612.2140947637
77,950612.2140947637,0.0978,8613.583831412854,7747.489544872331,866.0942865405232,949746.1198082232
78,949746.1198082232,0.0978,8613.583831412854,7740.430876436896,873.152954975958,948872.9668532473
79,948872.9668532473,0.0978,8613.583831412854,7733.314679853987,880.2691515588667,947992.6977016884
80,947992.6977016884,0.0978,8613.583831412854,7726.140486268929,887.4433451439254,947105.2543565445
81,947105.2543565445,0.0978,8613.583831412854,7718.907823005828,894.6760084070265,946210.5783481374
82,946210.5783481374,0.0978,8613.583831412854,7711.616213537074,901.96761787578,945308.6107302617
83,945308.6107302617,0.0978,8613.583831412854,7704.265177451676,909.3186539611779,944399.2920763005
84,944399.2920763005,0.0764,7088.259053749485,-18355.918160224115,25444.1772139736,918955.1148623269
85,918955.1148623269,0.0764,7088.259053749485,5850.680897956818,1237.5781557926675,917717.5367065342
86,917717.5367065342,0.0764,7088.259053749485,5842.801650365103,1245.457403384382,916472.0793031498
87,916472.0793031498,0.0764,7088.259053749485,5834.87223823018,1253.386815519305,915218.6924876305
88,915218.6924876305,0.0764,7088.259053749485,5826.892342171037,1261.3667115784483,913957.3257760521
89,913957.3257760521,0.0764,7088.259053749485,5818.8616407741665,1269.3974129753187,912687.9283630768
90,912687.9283630768,0.0764,7088.259053749485,5810.779810578317,1277.4792431711685,911410.4491199056
91,911410.4491199056,0.0764,7088.259053749485,5802.64652606343,1285.6125276860548,910124.8365922195
92,910124.8365922195,0.0764,7088.259053749485,5794.461459637141,1293.797594112344,908831.0389981072
93,908831.0389981072,0.0764,7088.259053749485,5786.224281621386,1302.0347721280996,907529.0042259791
94,907529.0042259791,0.0764,7088.259053749485,5777.934660238667,1310.3243935108185,906218.6798324683
95,906218.6798324683,0.0764,7088.259053749485,5769.592261600063,1318.6667921494227,904900.0130403189
96,904900.0130403189,0.0699,6646.3103411677275,-4933.78690266167,11580.097243829397,893319.9157964895
97,893319.9157964895,0.0699,6646.3103411677275,5203.588509514577,1442.7218316531507,891877.1939648363
98,891877.1939648363,0.0699,6646.3103411677275,5195.184654845156,1451.1256863225717,890426.0682785137
99,890426.0682785137,0.0699,6646.3103411677275,5186.731847722314,1459.5784934454132,888966.4897850683
100,888966.4897850683,0.0699,6646.3103411677275,5178.22980299813,1468.0805381695973,887498.4092468987
101,887498.4092468987,0.0699,6646.3103411677275,5169.678233863086,1476.632107304642,886021.7771395941
102,886021.7771395941,0.0699,6646.3103411677275,5161.0768518382665,1485.233489329461,884536.5436502646
103,884536.5436502646,0.0699,6646.3103411677275,5152.4253667626745,1493.884974405053,883042.6586758596
104,883042.6586758596,0.0699,6646.3103411677275,5143.723486786939,1502.5868543807883,881540.0718214788
105,881540.0718214788,0.0699,6646.3103411677275,5134.970918360164,1511.339422807563,880028.7323986712
106,880028.7323986712,0.0699,6646.3103411677275,5126.16736622236,1520.1429749453673,878508.5894237258
107,878508.5894237258,0.0699,6646.3103411677275,5117.312533393151,1528.9978077745764,876979.5916159513
108,876979.5916159513,0.0683,6539.247737692315,2029.6154481321528,4509.6322895601625,872469.9593263911
109,872469.9593263911,0.0683,6539.247737692315,4965.808185166209,1573.4395525261061,870896.519773865
110,870896.519773865,0.0683,6539.247737692315,4956.852691712901,1582.3950459794141,869314.1247278856
111,869314.1247278856,0.0683,6539.247737692315,4947.846226576129,1591.4015111161862,867722.7232167694
112,867722.7232167694,0.0683,6539.247737692315,4938.788499642043,1600.4592380502727,866122.2639787191
113,866122.2639787191,0.0683,6539.247737692315,4929.679219145556,1609.5685185467592,864512.6954601724
114,864512.6954601724,0.0683,6539.247737692315,4920.51809166092,1618.7296460313955,862893.965814141
115,862893.965814141,0.0683,6539.247737692315,4911.304822092289,1627.942915600026,861266.022898541
116,861266.022898541,0.0683,6539.247737692315,4902.039113664064,1637.2086240282515,859628.8142745127
117,859628.8142745127,0.0683,6539.247737692315,4892.720667912271,1646.5270697800443,857982.2872047327
118,857982.2872047327,0.0683,6539.247737692315,4883.349184673741,1655.8985530185746,856326.3886517141
119,856326.3886517141,0.0683,6539.247737692315,4873.924362075976,1665.323375616339,854661.0652760977
120,854661.0652760977,0.0806,7379.515919107158,29565.98487180847,-22186.46895270131,876847.534228799
121,876847.534228799,0.0806,7379.515919107158,5889.49260490344,1490.0233142037177,875357.5109145953
